"ac1.frequency";"ac1.rs_val";"r ngspice/ac1.ac.gain";"i ngspice/ac1.ac.gain"
1;1000;-327.616;0
1.14505;1000;-327.616;0
1.31113;1000;-327.616;0
1.50131;1000;-327.616;0
1.71907;1000;-327.616;0
1.96842;1000;-327.616;0
2.25393;1000;-327.616;0
2.58086;1000;-327.616;0
2.95521;1000;-327.616;0
3.38386;1000;-327.616;0
3.87468;1000;-327.616;0
4.43669;1000;-327.616;0
5.08022;1000;-327.616;0
5.81709;1000;-327.616;0
6.66085;1000;-327.617;0
7.62699;1000;-327.617;0
8.73326;1000;-327.618;0
10;1000;-327.618;0
11.4505;1000;-327.619;0
13.1113;1000;-327.62;0
15.0131;1000;-327.621;0
17.1907;1000;-327.623;0
19.6842;1000;-327.626;0
22.5393;1000;-327.629;0
25.8086;1000;-327.633;0
29.5521;1000;-327.638;0
33.8386;1000;-327.646;0
38.7468;1000;-327.655;0
44.3669;1000;-327.667;0
50.8022;1000;-327.683;0
58.1709;1000;-327.704;0
66.6085;1000;-327.731;0
76.2699;1000;-327.767;0
87.3326;1000;-327.813;0
100;1000;-327.873;0
114.505;1000;-327.952;0
131.113;1000;-328.054;0
150.131;1000;-328.186;0
171.907;1000;-328.355;0
196.842;1000;-328.573;0
225.393;1000;-328.852;0
258.086;1000;-329.205;0
295.521;1000;-329.653;0
338.386;1000;-330.217;0
387.468;1000;-330.926;0
443.669;1000;-331.82;0
508.022;1000;-332.962;0
581.709;1000;-334.453;0
666.085;1000;-336.492;0
762.699;1000;-339.537;0
873.326;1000;-345.074;0
1000;1000;-384.828;0
1145.05;1000;-343.735;0
1311.13;1000;-337.108;0
1501.31;1000;-332.917;0
1719.07;1000;-329.717;0
1968.42;1000;-327.057;0
2253.93;1000;-324.744;0
2580.86;1000;-322.674;0
2955.21;1000;-320.789;0
3383.86;1000;-319.048;0
3874.68;1000;-317.423;0
4436.69;1000;-315.891;0
5080.22;1000;-314.435;0
5817.09;1000;-313.039;0
6660.85;1000;-311.692;0
7626.99;1000;-310.383;0
8733.26;1000;-309.104;0
10000;1000;-307.848;0
11450.5;1000;-306.611;0
13111.3;1000;-305.388;0
15013.1;1000;-304.176;0
17190.7;1000;-302.973;0
19684.2;1000;-301.776;0
22539.3;1000;-300.584;0
25808.6;1000;-299.397;0
29552.1;1000;-298.213;0
33838.6;1000;-297.031;0
38746.8;1000;-295.852;0
44366.9;1000;-294.675;0
50802.2;1000;-293.501;0
58170.9;1000;-292.328;0
66608.5;1000;-291.158;0
76269.9;1000;-289.991;0
87332.6;1000;-288.828;0
100000;1000;-287.669;0
114505;1000;-286.515;0
131113;1000;-285.369;0
150131;1000;-284.23;0
171907;1000;-283.102;0
196842;1000;-281.986;0
225393;1000;-280.883;0
258086;1000;-279.797;0
295521;1000;-278.727;0
338386;1000;-277.675;0
387468;1000;-276.638;0
443669;1000;-275.615;0
508022;1000;-274.6;0
581709;1000;-273.59;0
666085;1000;-272.577;0
762699;1000;-271.556;0
873326;1000;-270.524;0
1e+06;1000;-269.475;0
1;1000;-327.617;0
1.14505;1000;-327.617;0
1.31113;1000;-327.617;0
1.50131;1000;-327.617;0
1.71907;1000;-327.617;0
1.96842;1000;-327.617;0
2.25393;1000;-327.617;0
2.58086;1000;-327.617;0
2.95521;1000;-327.617;0
3.38386;1000;-327.617;0
3.87468;1000;-327.617;0
4.43669;1000;-327.617;0
5.08022;1000;-327.617;0
5.81709;1000;-327.617;0
6.66085;1000;-327.618;0
7.62699;1000;-327.618;0
8.73326;1000;-327.619;0
10;1000;-327.619;0
11.4505;1000;-327.62;0
13.1113;1000;-327.621;0
15.0131;1000;-327.622;0
17.1907;1000;-327.624;0
19.6842;1000;-327.627;0
22.5393;1000;-327.63;0
25.8086;1000;-327.634;0
29.5521;1000;-327.639;0
33.8386;1000;-327.646;0
38.7468;1000;-327.656;0
44.3669;1000;-327.668;0
50.8022;1000;-327.684;0
58.1709;1000;-327.705;0
66.6085;1000;-327.732;0
76.2699;1000;-327.768;0
87.3326;1000;-327.814;0
100;1000;-327.874;0
114.505;1000;-327.953;0
131.113;1000;-328.055;0
150.131;1000;-328.187;0
171.907;1000;-328.357;0
196.842;1000;-328.575;0
225.393;1000;-328.853;0
258.086;1000;-329.207;0
295.521;1000;-329.654;0
338.386;1000;-330.218;0
387.468;1000;-330.927;0
443.669;1000;-331.822;0
508.022;1000;-332.964;0
581.709;1000;-334.455;0
666.085;1000;-336.495;0
762.699;1000;-339.539;0
873.326;1000;-345.076;0
1000;1000;-384.828;0
1145.05;1000;-343.738;0
1311.13;1000;-337.111;0
1501.31;1000;-332.921;0
1719.07;1000;-329.72;0
1968.42;1000;-327.061;0
2253.93;1000;-324.748;0
2580.86;1000;-322.678;0
2955.21;1000;-320.793;0
3383.86;1000;-319.053;0
3874.68;1000;-317.428;0
4436.69;1000;-315.896;0
5080.22;1000;-314.44;0
