"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
0;-1.2669e-07;0
7324.2;-5.60715e-08;3.33564e-07
14648.4;2.50599e-07;-1.40076e-07
21972.6;-2.60349e-07;2.0828e-08
29296.8;2.44514e-07;1.57725e-07
36621;-1.16566e-07;-1.1944e-07
43945.2;2.39512e-07;1.1746e-07
51269.4;-1.01245e-07;-3.56691e-07
58593.6;-1.86694e-07;2.77544e-07
65917.8;2.21717e-07;-5.28608e-08
73242;-3.81676e-08;-1.69333e-07
80566.2;-3.08291e-07;1.47352e-07
87890.4;4.41084e-07;1.1257e-07
95214.7;-3.28567e-07;-3.7273e-07
102539;-3.11133e-08;3.97246e-07
109863;1.18282e-07;-3.77758e-08
117187;1.04291e-07;2.69079e-08
124511;7.05783e-08;-1.43737e-07
131836;-1.38496e-07;-8.30215e-08
139160;-2.22178e-08;4.27958e-08
146484;-1.56132e-07;-3.24407e-09
153808;1.36116e-07;2.98662e-07
161132;6.94415e-08;-2.28945e-07
168457;1.55279e-07;8.51306e-08
175781;-3.46866e-07;-2.70042e-07
183105;2.33398e-07;4.52125e-07
190429;1.66455e-07;-4.01038e-07
197754;-4.52921e-07;-1.62253e-07
205078;7.59009e-08;6.66395e-07
212402;4.2519e-07;-5.07986e-07
219726;-5.3235e-07;4.17812e-08
227050;2.21667e-07;3.09799e-07
234375;1.72655e-07;-1.30167e-07
241699;-2.90053e-08;-2.07403e-07
249023;-1.5959e-07;1.07499e-07
256347;6.2915e-08;-8.58217e-08
263671;-6.2615e-08;9.61564e-08
270996;-1.02037e-07;-3.52981e-08
278320;2.40005e-07;1.93136e-07
285644;-1.30903e-07;-3.46612e-07
292968;-1.4275e-07;3.00791e-07
300292;2.02877e-07;1.24992e-08
307617;1.29099e-08;-9.21491e-08
314941;-7.46909e-08;9.41105e-08
322265;2.076e-07;-1.5891e-07
329589;-2.11659e-07;1.8711e-07
336913;3.07627e-07;-3.75535e-07
344238;-5.21086e-07;1.77128e-07
351562;3.11092e-07;1.90887e-07
358886;-1.45506e-08;-3.01325e-07
366210;-1.84245e-07;2.86315e-07
373534;2.15324e-07;-1.12313e-07
380859;-7.8652e-08;6.75668e-08
388183;1.69221e-07;-4.85743e-08
395507;-1.68852e-07;-1.96645e-07
402831;2.40781e-08;2.12795e-07
410155;-2.84848e-08;-1.76322e-07
417480;-1.30421e-07;4.90674e-08
424804;1.09596e-09;3.52685e-07
432128;3.73423e-07;-2.2114e-07
439452;-1.52944e-07;-1.65772e-07
446776;-1.85738e-07;1.36672e-07
454101;2.72796e-07;-1.16365e-07
461425;-4.15362e-07;9.35281e-08
468749;3.99157e-07;1.28116e-07
476073;-1.44142e-07;-2.14319e-07
483397;2.60661e-08;1.24199e-07
