"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
0;3.93123e-07;0
7324.2;-1.35761e-07;-4.06967e-07
14648.4;-4.63404e-07;-2.24989e-07
21972.6;2.15914e-07;6.88225e-07
29296.8;1.68981e-07;-4.75568e-07
36621;-9.70265e-08;5.29066e-09
43945.2;-1.51813e-07;-1.47351e-07
51269.4;-4.42807e-07;3.21016e-07
58593.6;8.35348e-07;6.69042e-07
65917.8;2.12327e-07;-1.41511e-06
73242;-1.0947e-06;6.69509e-07
80566.2;6.65935e-07;1.12998e-07
87890.4;-3.17818e-08;5.47689e-08
95214.7;2.27172e-07;-5.54762e-07
102539;-9.60305e-07;1.30541e-07
109863;6.23195e-07;8.19821e-07
117187;5.9393e-08;-5.98798e-07
124511;1.28103e-07;2.47816e-07
131836;-1.48405e-07;-1.97255e-07
139160;3.1541e-07;-1.01676e-07
146484;-5.43897e-07;-1.64405e-07
153808;-7.56859e-08;3.89735e-07
161132;4.77535e-07;3.52601e-07
168457;3.28094e-07;-7.66695e-07
175781;-8.21629e-07;-1.19094e-07
183105;-5.16577e-08;7.22872e-07
190429;8.73258e-07;-5.49806e-08
197754;-6.26554e-07;-6.9247e-07
205078;4.546e-08;6.19808e-07
212402;2.57538e-07;-1.74525e-07
219726;-2.58527e-07;-2.47207e-07
227050;5.48047e-08;1.69553e-07
234375;-4.48743e-07;8.48019e-08
241699;7.05807e-07;5.86064e-07
249023;8.129e-08;-9.82517e-07
256347;-4.65162e-07;5.31953e-07
263671;4.13578e-07;-3.67009e-07
270996;-5.65978e-07;8.42289e-08
278320;2.91307e-07;3.23077e-07
285644;6.05547e-08;-5.83669e-08
292968;2.67611e-07;-2.95557e-07
300292;-4.95635e-07;6.93292e-11
307617;1.62797e-07;9.65736e-08
314941;-1.61765e-07;5.48233e-08
322265;1.45193e-07;1.90046e-07
329589;2.6984e-07;-1.92577e-07
336913;-5.55915e-07;-2.19431e-07
344238;6.34689e-07;7.75647e-07
351562;-3.27286e-07;-1.31116e-06
358886;-2.97642e-07;1.27358e-06
366210;6.22833e-07;-6.61183e-07
373534;-5.06434e-07;7.14381e-08
380859;2.62154e-07;1.69247e-07
388183;-1.70164e-07;-1.2267e-07
395507;3.09867e-07;4.98237e-08
402831;-5.13146e-07;-2.19218e-07
410155;4.76674e-07;5.3008e-07
417480;-3.19424e-07;-7.33291e-07
424804;3.11547e-11;9.20267e-07
432128;6.06267e-07;-6.44651e-07
439452;-6.85163e-07;-2.44059e-07
446776;-1.11261e-07;6.49398e-07
454101;6.16601e-07;5.46794e-09
461425;-1.09091e-07;-5.39497e-07
468749;-4.46406e-07;1.9308e-07
476073;4.06709e-07;4.21181e-07
483397;2.91754e-08;-6.75796e-07
490722;-3.42117e-07;4.86917e-07
498046;5.64183e-07;-1.93004e-07
505370;-6.42309e-07;-4.32355e-07
512694;1.10313e-07;7.42886e-07
520018;6.12422e-08;-3.18729e-07
527343;1.41479e-07;2.35226e-07
534667;4.79254e-08;-9.7672e-08
541991;1.81155e-07;-2.02527e-07
549315;-2.55862e-07;-2.49529e-07
556640;-4.35384e-07;2.42333e-07
563964;4.06127e-07;3.27204e-07
571288;-6.89375e-08;-2.40891e-07
578612;-2.43844e-08;1.36324e-07
585936;2.62895e-07;1.66687e-07
593261;3.10713e-08;-5.02337e-07
600585;-1.883e-07;1.89224e-07
607909;-8.58662e-08;-2.04806e-07
615233;-1.5852e-07;3.65282e-07
622557;2.40526e-07;3.77799e-08
629882;2.92375e-07;6.74932e-08
637206;-1.12513e-07;-8.04815e-07
644530;-4.84652e-07;7.45085e-07
651854;3.39482e-07;-6.18578e-07
659178;-5.47281e-07;9.0179e-07
666503;8.12531e-07;-5.1071e-07
673827;-5.60352e-07;3.41811e-07
681151;7.68539e-07;-2.74369e-07
688475;-6.36065e-07;-2.35349e-07
695799;1.80255e-07;8.86447e-08
703124;-3.57048e-07;2.26042e-07
710448;6.29161e-07;-1.91218e-07
717772;-1.04399e-06;8.42235e-09
