 Mos1: Level 1 MOSfet model with Meyer capacitance model
     device                    m8                    m7                   m16
      model              pmos_350              pmos_350              pmos_350
         id          -2.12085e-05          -2.10221e-05           -2.0436e-05
         is           2.12085e-05           2.10221e-05            2.0436e-05
         ig                     0                     0                     0
         ib          -7.48442e-13          -1.15302e-13          -9.26558e-13
        vgs              0.183116              0.885658                     0
        vds             -0.738442             -0.105302             -0.916558
        vbs             -0.738442             -0.105302             -0.916558
        von                  -0.7                  -0.7                  -0.7
      vdsat             -0.221558              -0.29096             -0.216558
         rs                     0                     0                     0
         rd                     0                     0                     0
         gm           0.000191448           8.82137e-05           0.000188735
        gds           1.02266e-06           0.000156575           9.77026e-07
        gmb           6.86474e-05           3.16307e-05           6.76745e-05
        cbd                     0                     0                     0
        cbs                     0                     0                     0
        cgs                     0           2.46789e-14                     0
        cgd           3.93396e-14           3.33704e-14           3.93396e-14
        cgb                     0                     0                     0
       cbd0                     0                     0                     0
     cbdsw0                     0                     0                     0
       cbs0                     0                     0                     0
     cbssw0                     0                     0                     0

 Mos1: Level 1 MOSfet model with Meyer capacitance model
     device                    m6                    m5                   mx2
      model              pmos_350              pmos_350              pmos_350
         id          -4.08623e-05          -4.07267e-05          -3.56461e-05
         is           4.08623e-05           4.07267e-05           3.56461e-05
         ig                     0                     0                     0
         ib          -9.21558e-13          -8.52155e-13          -1.59923e-13
        vgs            0.00500006             0.0744024              0.766635
        vds             -0.911558             -0.842155             -0.149923
        vbs             -0.911558             -0.842155             -0.149923
        von                  -0.7                  -0.7                  -0.7
      vdsat             -0.216558             -0.216558             -0.216558
         rs                     0                     0                     0
         rd                     0                     0                     0
         gm            0.00037738           0.000376128           0.000251744
        gds           1.95405e-06           1.95405e-06            0.00011366
        gmb           0.000135317           0.000134868           9.02675e-05
        cbd                     0                     0                     0
        cbs                     0                     0                     0
        cgs                     0                     0           3.26702e-14
        cgd           7.86792e-14           7.86792e-14           7.43231e-14
        cgb                     0                     0                     0
       cbd0                     0                     0                     0
     cbdsw0                     0                     0                     0
       cbs0                     0                     0                     0
     cbssw0                     0                     0                     0

 Mos1: Level 1 MOSfet model with Meyer capacitance model
     device                   m15                    m1                    m2
      model              pmos_350              pmos_350              pmos_350
         id           -2.0436e-05          -1.78241e-05          -1.78219e-05
         is            2.0436e-05           1.78241e-05           1.78219e-05
         ig                     0                     0                     0
         ib          -9.26558e-13          -2.26356e-12          -2.26083e-12
        vgs                     0             -0.753486             -0.750749
        vds             -0.916558              -2.25356              -2.25083
        vbs             -0.916558              -2.25356              -2.25083
        von                  -0.7                  -0.7                  -0.7
      vdsat             -0.216558             -0.800077             -0.800077
         rs                     0                     0                     0
         rd                     0                     0                     0
         gm           0.000188735            4.4556e-05           4.45505e-05
        gds           9.77026e-07           8.00956e-07           8.00956e-07
        gmb           6.76745e-05           1.59764e-05           1.59744e-05
        cbd                     0                     0                     0
        cbs                     0                     0                     0
        cgs                     0                     0                     0
        cgd           3.93396e-14           2.91113e-11           2.91113e-11
        cgb                     0                     0                     0
       cbd0                     0                     0                     0
     cbdsw0                     0                     0                     0
       cbs0                     0                     0                     0
     cbssw0                     0                     0                     0

 Mos1: Level 1 MOSfet model with Meyer capacitance model
     device                   mx3                   m10                    m9
      model              nmos_350              nmos_350              nmos_350
         id           3.93584e-05           2.10158e-05           2.10221e-05
         is          -3.93584e-05          -2.10158e-05          -2.10221e-05
         ig                     0                     0                     0
         ib          -4.96685e-13          -7.63486e-13          -1.46329e-12
        vgs              0.902183              0.907851              0.905114
        vds              0.486685              0.753486               1.45329
        vbs                     0                     0                     0
        von                   0.7                   0.7                   0.7
      vdsat              0.202183              0.207851              0.205114
         rs                     0                     0                     0
         rd                     0                     0                     0
         gm           0.000389335            0.00020222            0.00020498
        gds           1.54427e-06           8.16039e-07           7.94689e-07
        gmb           0.000116336           6.04248e-05           6.12495e-05
        cbd                     0                     0                     0
        cbs                     0                     0                     0
        cgs           2.62264e-14           1.31132e-14           1.31132e-14
        cgd                     0                     0                     0
        cgb                     0                     0                     0
       cbd0                     0                     0                     0
     cbdsw0                     0                     0                     0
       cbs0                     0                     0                     0
     cbssw0                     0                     0                     0

 Mos1: Level 1 MOSfet model with Meyer capacitance model
     device                   m13                   m12                   m11
      model              nmos_350              nmos_350              nmos_350
         id                 2e-05             3.884e-05           3.88441e-05
         is                -2e-05            -3.884e-05          -3.88441e-05
         ig                     0                     0                     0
         ib          -9.12183e-13          -9.06514e-13          -9.09251e-13
        vgs              0.902183              0.899251              0.899251
        vds              0.902183              0.896514              0.899251
        vbs                     0                     0                     0
        von                   0.7                   0.7                   0.7
      vdsat              0.202183              0.199251              0.199251
         rs                     0                     0                     0
         rd                     0                     0                     0
         gm           0.000197841            0.00038986           0.000389901
        gds           7.72136e-07           1.49981e-06           1.49981e-06
        gmb           5.91163e-05           0.000116493           0.000116505
        cbd                     0                     0                     0
        cbs                     0                     0                     0
        cgs           1.31132e-14           2.62264e-14           2.62264e-14
        cgd                     0                     0                     0
        cgb                     0                     0                     0
       cbd0                     0                     0                     0
     cbdsw0                     0                     0                     0
       cbs0                     0                     0                     0
     cbssw0                     0                     0                     0

 Mos1: Level 1 MOSfet model with Meyer capacitance model
     device                   m17                   m14                    m3
      model              nmos_350              nmos_350              nmos_350
         id            2.0436e-05                 2e-05           1.96538e-05
         is           -2.0436e-05                -2e-05          -1.96538e-05
         ig                     0                     0                     0
         ib          -1.47688e-12          -9.12183e-13          -1.91176e-12
        vgs              0.902183              0.902183               1.16332
        vds               1.46688              0.902183               1.90176
        vbs                     0                     0                     0
        von                   0.7                   0.7                   0.7
      vdsat              0.202183              0.202183              0.463315
         rs                     0                     0                     0
         rd                     0                     0                     0
         gm           0.000202154           0.000197841             8.484e-05
        gds           7.72136e-07           7.72136e-07           7.30578e-07
        gmb           6.04051e-05           5.91163e-05           2.53508e-05
        cbd                     0                     0                     0
        cbs                     0                     0                     0
        cgs           1.31132e-14           1.31132e-14           2.91113e-11
        cgd                     0                     0                     0
        cgb                     0                     0                     0
       cbd0                     0                     0                     0
     cbdsw0                     0                     0                     0
       cbs0                     0                     0                     0
     cbssw0                     0                     0                     0

 Mos1: Level 1 MOSfet model with Meyer capacitance model
     device                    m4
      model              nmos_350
         id           1.97045e-05
         is          -1.97045e-05
         ig                     0
         ib          -1.98116e-12
        vgs               1.16332
        vds               1.97116
        vbs                     0
        von                   0.7
      vdsat              0.463315
         rs                     0
         rd                     0
         gm           8.50589e-05
        gds           7.30578e-07
        gmb           2.54162e-05
        cbd                     0
        cbs                     0
        cgs           2.91113e-11
        cgd                     0
        cgb                     0
       cbd0                     0
     cbdsw0                     0
       cbs0                     0
     cbssw0                     0

